amfi_code,scheme_name,return_3yr_pct,rank_return_3yr,score_return_3yr,sharpe_ratio,rank_sharpe,score_sharpe,alpha,rank_alpha,score_alpha,expense_ratio_pct,rank_expense_inverse,score_expense_ratio,max_drawdown_pct,rank_max_dd_inverse,score_max_drawdown,fund_score_0_100
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,38,5.128205128205132,1.52,5,89.74358974358975,1.6,11,74.35897435897436,0.77,8,82.05128205128204,-2.3,38,5.128205128205132,51.66666666666667
149324,DSP Small Cap Fund - Regular - Growth,20.08,6,87.17948717948718,0.8,24,41.02564102564102,0.69,32,20.512820512820518,1.52,22,46.15384615384615,-17.01,26,35.89743589743589,51.02564102564102
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,21,48.71794871794872,1.0,9,79.48717948717949,0.86,29,28.205128205128204,1.51,21,48.71794871794872,-16.07,27,33.333333333333336,50.769230769230774
101208,ABSL Liquid Fund - Regular - Growth,5.14,40,0.0,5.14,3,94.87179487179486,1.18,19,53.84615384615385,0.79,10,76.92307692307692,-3.66,36,10.256410256410254,47.05128205128205
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,39,2.564102564102566,1.33,6,87.17948717948718,0.89,26,35.89743589743589,0.55,1,100.0,-2.23,39,2.564102564102566,45.0
119092,Axis Bluechip Fund - Regular - Growth,11.84,31,23.076923076923073,0.85,20,51.28205128205128,1.41,15,64.1025641025641,1.64,31,23.076923076923073,-27.54,6,87.17948717948718,44.74358974358974
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,30,25.64102564102564,0.93,14,66.66666666666667,0.93,24,41.02564102564102,1.57,27,33.333333333333336,-24.42,13,69.23076923076923,44.48717948717949
120841,Kotak Bluechip Fund - Regular - Growth,12.25,28,30.76923076923077,0.87,19,53.84615384615385,1.27,17,58.97435897435898,1.59,28,30.76923076923077,-17.86,22,46.15384615384615,43.717948717948715
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,26,35.89743589743589,0.88,18,56.41025641025641,0.87,28,30.76923076923077,1.54,24,41.02564102564102,-21.7,19,53.84615384615385,42.56410256410256
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,33,17.948717948717952,0.82,22,46.15384615384615,0.66,33,17.948717948717952,1.42,17,58.97435897435898,-25.91,10,76.92307692307692,37.05128205128205
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,23,43.58974358974359,0.8,24,41.02564102564102,0.54,35,12.82051282051282,1.6,29,28.205128205128204,-22.62,15,64.1025641025641,36.53846153846154
