investor_id,sip_tx_count,avg_gap_days,at_risk,max_gap_days
INV003649,6,96.8,at-risk,195
INV003193,6,96.6,at-risk,294
INV003234,6,96.6,at-risk,188
INV003686,6,96.6,at-risk,328
INV001891,6,96.4,at-risk,261
INV004625,6,96.4,at-risk,246
INV000549,6,96.2,at-risk,146
INV001167,6,96.2,at-risk,207
INV000335,6,96.0,at-risk,279
INV002883,6,96.0,at-risk,176
INV003473,6,95.8,at-risk,213
INV001809,6,95.6,at-risk,249
INV002463,6,95.4,at-risk,236
INV002372,6,95.2,at-risk,133
INV002560,6,95.2,at-risk,155
INV003645,6,95.2,at-risk,257
INV003996,6,95.2,at-risk,244
INV000491,6,95.0,at-risk,202
INV001772,6,95.0,at-risk,184
INV000214,6,94.8,at-risk,306
INV004463,6,94.8,at-risk,211
INV000663,6,94.4,at-risk,247
INV002348,6,94.4,at-risk,166
INV001331,6,94.2,at-risk,202
INV000339,6,94.0,at-risk,195
INV000651,6,94.0,at-risk,304
INV000814,6,94.0,at-risk,195
INV002594,6,94.0,at-risk,244
INV000652,6,93.8,at-risk,262
INV001602,6,93.8,at-risk,294
INV004704,6,93.8,at-risk,141
INV000028,6,93.6,at-risk,238
INV000238,6,93.6,at-risk,287
INV001005,6,93.6,at-risk,206
INV004181,6,93.4,at-risk,245
INV001055,6,93.2,at-risk,177
INV004738,6,93.2,at-risk,148
INV003985,6,93.0,at-risk,191
INV000087,6,92.8,at-risk,202
INV000673,6,92.8,at-risk,235
INV001545,6,92.8,at-risk,208
INV000737,6,92.6,at-risk,168
INV001316,6,92.4,at-risk,198
INV003350,6,92.4,at-risk,191
INV003683,6,92.4,at-risk,165
INV003968,6,92.4,at-risk,209
INV000245,6,92.2,at-risk,164
INV001196,6,92.2,at-risk,169
INV001287,6,92.2,at-risk,157
INV000217,6,92.0,at-risk,183
INV001623,6,92.0,at-risk,188
INV000076,6,91.8,at-risk,203
INV002138,6,91.8,at-risk,189
INV002418,6,91.6,at-risk,128
INV003112,6,91.6,at-risk,173
INV000457,6,91.4,at-risk,256
INV003028,6,91.4,at-risk,183
INV003718,6,91.4,at-risk,284
INV000862,6,91.2,at-risk,372
INV003437,6,91.2,at-risk,226
INV000950,6,91.0,at-risk,215
INV002984,6,91.0,at-risk,200
INV003492,6,90.8,at-risk,162
INV004421,6,90.8,at-risk,221
INV000297,6,90.6,at-risk,163
INV004392,6,90.4,at-risk,200
INV002090,6,90.2,at-risk,231
INV003604,6,90.2,at-risk,188
INV003545,6,90.0,at-risk,210
INV000783,6,89.8,at-risk,187
INV002606,6,89.6,at-risk,248
INV002903,6,89.6,at-risk,176
INV003936,6,89.6,at-risk,227
INV000145,6,89.4,at-risk,282
INV001741,6,89.4,at-risk,260
INV002154,6,89.4,at-risk,175
INV003260,6,89.4,at-risk,247
INV000291,6,89.0,at-risk,196
INV002547,6,89.0,at-risk,181
INV003329,6,89.0,at-risk,230
INV003521,6,89.0,at-risk,183
INV003733,6,88.8,at-risk,174
INV000597,6,88.6,at-risk,198
INV000710,6,88.6,at-risk,264
INV001418,6,88.6,at-risk,187
INV001997,6,88.6,at-risk,168
INV001641,6,88.4,at-risk,168
INV000133,6,88.2,at-risk,265
INV000243,6,88.2,at-risk,137
INV002434,6,88.2,at-risk,217
INV002743,6,88.2,at-risk,190
INV003526,6,88.2,at-risk,224
INV004146,6,88.2,at-risk,253
INV004015,6,88.0,at-risk,190
INV003868,6,87.6,at-risk,264
INV004127,6,87.6,at-risk,190
INV002586,6,87.2,at-risk,168
INV004247,6,87.2,at-risk,274
INV004523,6,87.2,at-risk,127
INV004913,6,87.0,at-risk,156
INV000418,6,86.8,at-risk,238
INV001954,6,86.8,at-risk,273
INV003744,6,86.8,at-risk,187
INV002989,6,86.6,at-risk,182
INV003095,6,86.6,at-risk,175
INV003344,6,86.6,at-risk,190
INV004174,6,86.6,at-risk,195
INV004517,6,86.6,at-risk,185
INV000625,6,86.4,at-risk,134
INV001912,6,86.4,at-risk,256
INV001507,6,86.2,at-risk,167
INV002476,6,86.0,at-risk,235
INV001419,6,85.8,at-risk,137
INV001982,6,85.8,at-risk,289
INV003376,6,85.8,at-risk,199
INV002872,6,85.6,at-risk,199
INV003958,6,85.6,at-risk,133
INV000004,6,85.4,at-risk,265
INV000299,6,85.2,at-risk,240
INV003262,6,85.2,at-risk,162
INV003865,7,85.16666666666667,at-risk,235
INV002284,6,85.0,at-risk,277
INV002627,6,85.0,at-risk,182
INV004123,6,85.0,at-risk,138
INV000836,6,84.8,at-risk,123
INV001317,6,84.8,at-risk,162
INV002001,6,84.8,at-risk,335
INV002961,7,84.66666666666667,at-risk,231
INV003422,7,84.66666666666667,at-risk,167
INV004308,7,84.66666666666667,at-risk,244
INV000747,6,84.6,at-risk,205
INV003247,6,84.6,at-risk,206
INV004434,6,84.6,at-risk,156
INV003427,6,84.2,at-risk,266
INV003972,6,84.2,at-risk,224
INV004598,6,84.2,at-risk,195
INV001718,6,84.0,at-risk,237
INV002038,6,84.0,at-risk,202
INV004451,6,84.0,at-risk,137
INV004562,6,83.8,at-risk,158
INV000082,7,83.66666666666667,at-risk,351
INV000175,7,83.66666666666667,at-risk,170
INV000543,7,83.66666666666667,at-risk,218
INV000701,7,83.66666666666667,at-risk,298
INV002681,7,83.66666666666667,at-risk,161
INV001206,6,83.6,at-risk,190
INV001689,6,83.6,at-risk,153
INV004692,6,83.6,at-risk,190
INV004763,7,83.5,at-risk,184
INV000103,6,83.4,at-risk,232
INV001569,6,83.4,at-risk,314
INV001961,6,83.4,at-risk,234
INV004665,6,83.4,at-risk,137
INV002417,7,83.33333333333333,at-risk,190
INV000396,6,83.2,at-risk,153
INV001699,6,83.2,at-risk,183
INV001978,6,83.2,at-risk,112
INV000072,6,83.0,at-risk,247
INV000759,7,83.0,at-risk,156
INV001041,7,83.0,at-risk,195
INV003231,7,83.0,at-risk,253
INV004314,6,83.0,at-risk,195
INV004764,6,83.0,at-risk,144
INV002134,7,82.66666666666667,at-risk,180
INV003144,7,82.5,at-risk,243
INV000407,6,82.4,at-risk,157
INV003014,6,82.4,at-risk,144
INV003480,6,82.4,at-risk,211
INV002835,7,82.33333333333333,at-risk,233
INV002909,7,82.33333333333333,at-risk,263
INV004412,7,82.33333333333333,at-risk,173
INV002495,6,82.2,at-risk,174
INV003813,6,82.2,at-risk,122
INV000128,6,82.0,at-risk,181
INV001251,6,82.0,at-risk,223
INV001691,6,82.0,at-risk,254
INV002567,6,82.0,at-risk,127
INV002769,7,82.0,at-risk,141
INV003896,6,82.0,at-risk,255
INV004216,7,82.0,at-risk,195
INV003757,7,81.83333333333333,at-risk,156
INV004293,6,81.8,at-risk,142
INV004845,6,81.8,at-risk,197
INV004367,6,81.6,at-risk,194
INV000599,7,81.5,at-risk,171
INV003222,7,81.5,at-risk,190
INV003713,7,81.5,at-risk,161
INV004992,7,81.5,at-risk,176
INV001115,6,81.4,at-risk,290
INV002809,6,81.4,at-risk,276
INV004457,6,81.4,at-risk,188
INV000081,7,81.33333333333333,at-risk,167
INV002070,7,81.33333333333333,at-risk,118
INV004986,7,81.33333333333333,at-risk,185
INV000724,6,81.2,at-risk,227
INV001310,6,81.2,at-risk,232
INV003825,6,81.2,at-risk,99
INV001690,7,81.16666666666667,at-risk,114
INV002758,6,81.0,at-risk,263
INV003151,6,81.0,at-risk,146
INV004452,7,81.0,at-risk,180
INV003310,6,80.8,at-risk,154
INV004650,6,80.8,at-risk,143
INV001923,7,80.66666666666667,at-risk,106
INV002466,7,80.66666666666667,at-risk,270
INV000545,6,80.6,at-risk,181
INV001161,6,80.6,at-risk,159
INV001434,6,80.6,at-risk,178
INV001482,6,80.6,at-risk,280
INV001548,6,80.6,at-risk,197
INV002684,6,80.6,at-risk,266
INV002761,6,80.6,at-risk,312
INV004364,6,80.6,at-risk,173
INV003562,7,80.5,at-risk,165
INV004877,7,80.5,at-risk,276
INV000888,7,80.33333333333333,at-risk,166
INV003196,7,80.33333333333333,at-risk,319
INV002101,6,80.2,at-risk,248
INV003685,6,80.2,at-risk,132
INV003709,6,80.2,at-risk,181
INV000926,6,80.0,at-risk,111
INV001332,7,80.0,at-risk,179
INV002828,6,80.0,at-risk,211
INV002700,7,79.83333333333333,at-risk,140
INV000979,6,79.8,at-risk,115
INV004271,6,79.8,at-risk,157
INV001178,7,79.66666666666667,at-risk,140
INV001797,7,79.66666666666667,at-risk,132
INV003712,6,79.6,at-risk,163
INV004614,6,79.6,at-risk,117
INV003037,7,79.5,at-risk,300
INV001428,6,79.4,at-risk,174
INV002574,6,79.4,at-risk,139
INV004896,6,79.4,at-risk,252
INV001356,6,79.2,at-risk,191
INV001969,6,79.2,at-risk,163
INV004804,6,79.2,at-risk,137
INV001472,6,79.0,at-risk,141
INV001550,7,79.0,at-risk,191
INV003060,7,79.0,at-risk,135
INV003395,6,79.0,at-risk,192
INV003660,6,79.0,at-risk,164
INV003633,6,78.8,at-risk,119
INV003705,6,78.8,at-risk,152
INV001333,7,78.66666666666667,at-risk,185
INV001376,7,78.66666666666667,at-risk,181
INV001651,7,78.66666666666667,at-risk,130
INV003054,7,78.66666666666667,at-risk,209
INV003811,7,78.66666666666667,at-risk,141
INV002051,6,78.6,at-risk,159
INV002429,6,78.6,at-risk,216
INV003710,6,78.6,at-risk,118
INV001375,7,78.5,at-risk,176
INV001744,7,78.5,at-risk,155
INV004860,6,78.4,at-risk,189
INV000581,7,78.33333333333333,at-risk,160
INV004196,7,78.33333333333333,at-risk,219
INV003593,6,78.2,at-risk,166
INV004633,7,78.16666666666667,at-risk,189
INV002119,6,78.0,at-risk,195
INV002155,6,78.0,at-risk,190
INV000499,7,77.83333333333333,at-risk,157
INV002240,7,77.83333333333333,at-risk,266
INV002260,6,77.8,at-risk,235
INV004324,7,77.66666666666667,at-risk,173
INV003556,6,77.6,at-risk,129
INV003876,6,77.6,at-risk,160
INV004688,6,77.6,at-risk,181
INV000195,6,77.4,at-risk,114
INV002582,6,77.4,at-risk,173
INV003161,6,77.4,at-risk,118
INV001092,7,77.33333333333333,at-risk,186
INV000429,6,77.2,at-risk,187
INV002351,6,77.2,at-risk,204
INV003672,6,77.2,at-risk,180
INV003849,6,77.2,at-risk,146
INV000392,7,77.16666666666667,at-risk,205
INV000803,7,77.16666666666667,at-risk,147
INV001220,7,77.16666666666667,at-risk,104
INV002671,7,77.16666666666667,at-risk,163
INV003736,7,77.16666666666667,at-risk,120
INV004191,7,77.16666666666667,at-risk,310
INV000363,7,77.0,at-risk,153
INV000539,7,77.0,at-risk,153
INV002628,6,77.0,at-risk,322
INV001130,7,76.83333333333333,at-risk,131
INV003134,7,76.83333333333333,at-risk,172
INV004468,7,76.83333333333333,at-risk,154
INV001400,6,76.8,at-risk,266
INV003191,6,76.8,at-risk,138
INV002622,7,76.66666666666667,at-risk,244
INV003697,7,76.66666666666667,at-risk,163
INV002724,6,76.6,at-risk,187
INV002859,7,76.5,at-risk,198
INV002327,6,76.4,at-risk,215
INV003531,6,76.4,at-risk,185
INV003779,6,76.4,at-risk,160
INV000563,7,76.33333333333333,at-risk,198
INV002531,7,76.33333333333333,at-risk,182
INV002786,7,76.33333333333333,at-risk,124
INV004865,7,76.33333333333333,at-risk,143
INV000138,6,76.2,at-risk,220
INV001291,6,76.2,at-risk,181
INV004285,7,76.16666666666667,at-risk,169
INV001870,7,76.0,at-risk,164
INV001955,6,76.0,at-risk,199
INV000310,7,75.83333333333333,at-risk,164
INV002674,6,75.8,at-risk,153
INV002852,6,75.8,at-risk,207
INV003696,6,75.8,at-risk,190
INV000920,6,75.6,at-risk,220
INV002256,6,75.6,at-risk,115
INV003592,6,75.6,at-risk,202
INV004636,6,75.6,at-risk,160
INV004916,7,75.5,at-risk,162
INV000014,7,75.33333333333333,at-risk,128
INV004984,7,75.33333333333333,at-risk,177
INV000761,7,75.16666666666667,at-risk,173
INV003379,7,75.16666666666667,at-risk,268
INV004066,7,75.16666666666667,at-risk,319
INV000635,6,75.0,at-risk,240
INV000779,6,75.0,at-risk,153
INV001579,7,75.0,at-risk,193
INV002186,7,74.83333333333333,at-risk,167
INV000056,6,74.8,at-risk,161
INV000075,6,74.8,at-risk,102
INV003074,6,74.8,at-risk,123
INV002543,7,74.66666666666667,at-risk,116
INV002010,6,74.6,at-risk,103
INV002521,6,74.6,at-risk,206
INV003720,6,74.6,at-risk,116
INV004037,6,74.6,at-risk,137
INV002772,7,74.5,at-risk,168
INV003448,7,74.5,at-risk,200
INV004502,7,74.5,at-risk,165
INV000562,6,74.4,at-risk,197
INV001180,6,74.4,at-risk,198
INV001943,6,74.4,at-risk,171
INV002863,6,74.4,at-risk,199
INV003267,6,74.4,at-risk,197
INV000593,6,74.2,at-risk,179
INV002342,6,74.2,at-risk,212
INV002643,6,74.2,at-risk,229
INV003514,6,74.2,at-risk,172
INV003785,6,74.2,at-risk,160
INV003040,6,74.0,at-risk,194
INV003775,6,74.0,at-risk,151
INV004069,6,74.0,at-risk,196
INV004716,7,74.0,at-risk,197
INV003043,7,73.83333333333333,at-risk,131
INV003435,7,73.83333333333333,at-risk,140
INV003484,6,73.8,at-risk,333
INV000774,7,73.66666666666667,at-risk,169
INV002236,7,73.66666666666667,at-risk,119
INV002913,7,73.66666666666667,at-risk,168
INV004005,7,73.66666666666667,at-risk,314
INV002006,6,73.6,at-risk,157
INV002150,6,73.6,at-risk,216
INV002706,6,73.6,at-risk,133
INV002827,6,73.6,at-risk,200
INV004091,6,73.6,at-risk,240
INV004403,6,73.6,at-risk,150
INV000319,7,73.5,at-risk,201
INV000540,7,73.5,at-risk,123
INV000873,7,73.5,at-risk,299
INV000974,7,73.5,at-risk,143
INV003314,7,73.5,at-risk,210
INV004847,7,73.5,at-risk,281
INV003034,6,73.4,at-risk,118
INV003430,6,73.4,at-risk,104
INV004208,6,73.4,at-risk,156
INV000466,7,73.33333333333333,at-risk,135
INV001274,7,73.33333333333333,at-risk,161
INV004473,7,73.33333333333333,at-risk,152
INV000444,6,73.2,at-risk,129
INV004119,6,73.2,at-risk,237
INV003424,7,73.16666666666667,at-risk,124
INV004958,7,73.16666666666667,at-risk,135
INV000161,7,73.0,at-risk,213
INV001454,7,73.0,at-risk,176
INV002177,7,73.0,at-risk,330
INV002905,6,73.0,at-risk,221
INV004770,8,72.85714285714286,at-risk,146
INV000321,7,72.83333333333333,at-risk,204
INV000719,7,72.83333333333333,at-risk,185
INV004288,7,72.83333333333333,at-risk,223
INV001831,6,72.8,at-risk,181
INV002420,6,72.8,at-risk,107
INV002891,8,72.71428571428571,at-risk,166
INV003702,7,72.66666666666667,at-risk,118
INV000074,8,72.57142857142857,at-risk,191
INV001359,7,72.5,at-risk,313
INV001683,7,72.5,at-risk,186
INV003815,7,72.5,at-risk,217
INV004349,7,72.5,at-risk,159
INV001023,8,72.42857142857143,at-risk,202
INV004357,8,72.42857142857143,at-risk,305
INV002458,6,72.4,at-risk,232
INV002750,6,72.4,at-risk,254
INV003380,6,72.4,at-risk,155
INV000754,7,72.33333333333333,at-risk,103
INV003336,7,72.33333333333333,at-risk,133
INV003793,7,72.33333333333333,at-risk,203
INV004228,7,72.33333333333333,at-risk,112
INV004741,7,72.33333333333333,at-risk,157
INV004787,7,72.33333333333333,at-risk,140
INV000830,6,72.2,at-risk,165
INV003210,6,72.2,at-risk,112
INV003711,6,72.2,at-risk,145
INV004147,6,72.2,at-risk,136
INV001547,7,72.16666666666667,at-risk,119
INV002879,7,72.16666666666667,at-risk,125
INV003580,7,72.16666666666667,at-risk,227
INV004581,8,72.14285714285714,at-risk,234
INV000553,6,72.0,at-risk,172
INV001625,6,72.0,at-risk,209
INV002555,7,72.0,at-risk,172
INV003619,6,72.0,at-risk,113
INV004672,7,72.0,at-risk,127
INV000497,7,71.83333333333333,at-risk,191
INV001298,7,71.83333333333333,at-risk,158
INV002315,7,71.83333333333333,at-risk,174
INV002824,7,71.83333333333333,at-risk,223
INV002280,7,71.66666666666667,at-risk,182
INV004038,7,71.66666666666667,at-risk,207
INV000575,6,71.6,at-risk,155
INV003885,6,71.6,at-risk,281
INV003897,6,71.6,at-risk,144
INV003824,7,71.5,at-risk,196
INV002530,8,71.42857142857143,at-risk,175
INV001432,6,71.4,at-risk,175
INV003830,6,71.4,at-risk,115
INV004232,6,71.4,at-risk,232
INV004589,6,71.4,at-risk,225
INV004761,6,71.4,at-risk,139
INV002208,7,71.33333333333333,at-risk,142
INV003693,7,71.33333333333333,at-risk,234
INV004079,7,71.33333333333333,at-risk,164
INV001885,6,71.2,at-risk,128
INV004179,6,71.2,at-risk,129
INV003044,7,71.16666666666667,at-risk,237
INV002107,8,71.14285714285714,at-risk,298
INV000132,6,71.0,at-risk,139
INV003564,8,71.0,at-risk,292
INV004997,7,71.0,at-risk,248
INV002219,8,70.85714285714286,at-risk,166
INV003670,8,70.85714285714286,at-risk,160
INV001223,7,70.83333333333333,at-risk,175
INV004925,7,70.83333333333333,at-risk,105
INV002799,6,70.8,at-risk,129
INV000210,8,70.71428571428571,at-risk,163
INV002732,8,70.71428571428571,at-risk,151
INV003658,8,70.71428571428571,at-risk,143
INV003940,7,70.66666666666667,at-risk,151
INV004647,7,70.66666666666667,at-risk,138
INV004889,7,70.66666666666667,at-risk,159
INV000045,6,70.6,at-risk,109
INV000259,6,70.6,at-risk,165
INV002736,6,70.6,at-risk,323
INV002766,6,70.6,at-risk,151
INV003487,6,70.6,at-risk,155
INV000469,7,70.5,at-risk,183
INV001351,7,70.5,at-risk,208
INV002182,7,70.5,at-risk,148
INV000483,8,70.42857142857143,at-risk,252
INV002202,8,70.42857142857143,at-risk,276
INV000008,6,70.4,at-risk,165
INV002485,6,70.4,at-risk,136
INV003607,6,70.4,at-risk,253
INV000256,6,70.2,at-risk,155
INV000554,6,70.2,at-risk,171
INV003745,6,70.2,at-risk,183
INV000507,7,70.16666666666667,at-risk,249
INV002370,7,70.16666666666667,at-risk,237
INV003228,7,70.16666666666667,at-risk,256
INV002373,8,70.14285714285714,at-risk,154
INV003047,8,70.14285714285714,at-risk,215
INV000304,7,70.0,at-risk,204
INV002490,8,70.0,at-risk,125
INV002640,7,70.0,at-risk,153
INV004825,7,70.0,at-risk,141
INV004401,8,69.85714285714286,at-risk,216
INV000287,7,69.83333333333333,at-risk,301
INV001242,6,69.8,at-risk,128
INV004661,8,69.71428571428571,at-risk,181
INV001724,7,69.66666666666667,at-risk,134
INV004270,7,69.66666666666667,at-risk,204
INV003022,6,69.6,at-risk,123
INV000440,8,69.57142857142857,at-risk,162
INV004780,7,69.5,at-risk,154
INV001326,8,69.42857142857143,at-risk,182
INV000095,6,69.4,at-risk,155
INV001026,6,69.4,at-risk,132
INV001752,7,69.33333333333333,at-risk,170
INV004212,7,69.33333333333333,at-risk,169
INV002232,7,69.16666666666667,at-risk,174
INV003078,7,69.16666666666667,at-risk,126
INV003946,7,69.16666666666667,at-risk,147
INV000793,8,69.14285714285714,at-risk,149
INV004871,8,69.14285714285714,at-risk,170
INV000196,7,69.0,at-risk,176
INV001536,7,69.0,at-risk,189
INV002034,8,69.0,at-risk,166
INV003211,7,69.0,at-risk,104
INV004413,8,69.0,at-risk,142
INV003673,8,68.85714285714286,at-risk,160
INV003611,7,68.83333333333333,at-risk,228
INV002019,6,68.8,at-risk,117
INV003962,8,68.71428571428571,at-risk,302
INV000630,7,68.66666666666667,at-risk,161
INV001021,7,68.66666666666667,at-risk,186
INV000039,6,68.6,at-risk,129
INV001401,6,68.6,at-risk,197
INV002228,6,68.6,at-risk,109
INV003707,6,68.6,at-risk,152
INV003912,6,68.6,at-risk,195
INV004959,6,68.6,at-risk,193
INV001921,8,68.57142857142857,at-risk,225
INV003880,8,68.57142857142857,at-risk,193
INV000427,7,68.5,at-risk,116
INV001238,7,68.5,at-risk,220
INV002121,7,68.5,at-risk,197
INV003844,7,68.5,at-risk,197
INV000263,8,68.42857142857143,at-risk,271
INV002357,7,68.33333333333333,at-risk,240
INV004085,7,68.33333333333333,at-risk,260
INV004640,7,68.33333333333333,at-risk,202
INV001715,8,68.28571428571429,at-risk,188
INV001170,6,68.2,at-risk,119
INV001329,6,68.2,at-risk,97
INV002735,7,68.16666666666667,at-risk,136
INV001415,8,68.14285714285714,at-risk,173
INV003352,8,68.14285714285714,at-risk,279
INV003978,8,68.14285714285714,at-risk,209
INV000283,6,68.0,at-risk,195
INV000667,6,68.0,at-risk,134
INV002746,8,68.0,at-risk,206
INV003598,8,68.0,at-risk,114
INV003724,7,68.0,at-risk,169
INV004863,7,68.0,at-risk,220
INV003458,8,67.85714285714286,at-risk,206
INV004175,8,67.85714285714286,at-risk,133
INV000169,7,67.83333333333333,at-risk,145
INV002153,7,67.83333333333333,at-risk,194
INV002187,7,67.83333333333333,at-risk,221
INV004475,7,67.83333333333333,at-risk,87
INV002218,6,67.8,at-risk,181
INV003518,6,67.8,at-risk,157
INV004340,6,67.8,at-risk,252
INV004641,6,67.8,at-risk,105
INV003223,8,67.71428571428571,at-risk,331
INV000725,7,67.66666666666667,at-risk,92
INV001606,7,67.66666666666667,at-risk,148
INV003205,7,67.66666666666667,at-risk,111
INV003741,7,67.66666666666667,at-risk,159
INV003795,7,67.66666666666667,at-risk,122
INV003981,7,67.66666666666667,at-risk,237
INV004070,7,67.66666666666667,at-risk,170
INV001645,6,67.6,at-risk,202
INV003252,6,67.6,at-risk,192
INV000949,7,67.5,at-risk,135
INV001629,7,67.5,at-risk,82
INV003141,7,67.5,at-risk,225
INV003230,7,67.5,at-risk,251
INV004547,7,67.5,at-risk,165
INV001181,8,67.42857142857143,at-risk,163
INV003613,8,67.42857142857143,at-risk,283
INV001163,7,67.33333333333333,at-risk,255
INV002277,7,67.33333333333333,at-risk,127
INV000570,8,67.28571428571429,at-risk,186
INV000833,8,67.28571428571429,at-risk,182
INV002497,8,67.28571428571429,at-risk,152
INV003916,6,67.2,at-risk,114
INV004128,6,67.2,at-risk,156
INV002557,7,67.16666666666667,at-risk,264
INV002937,7,67.16666666666667,at-risk,184
INV004953,7,67.16666666666667,at-risk,138
INV000236,8,67.14285714285714,at-risk,112
INV001017,6,67.0,at-risk,142
INV001173,6,67.0,at-risk,146
INV001282,6,67.0,at-risk,196
INV001987,7,67.0,at-risk,241
INV003000,7,67.0,at-risk,137
INV003506,7,67.0,at-risk,132
INV003641,8,67.0,at-risk,219
INV003113,8,66.85714285714286,at-risk,159
INV003920,8,66.85714285714286,at-risk,132
INV000578,7,66.83333333333333,at-risk,164
INV001510,7,66.83333333333333,at-risk,124
INV000146,6,66.8,at-risk,171
INV000607,7,66.66666666666667,at-risk,209
INV001275,7,66.66666666666667,at-risk,140
INV004844,7,66.66666666666667,at-risk,118
INV001712,6,66.6,at-risk,144
INV003117,8,66.57142857142857,at-risk,115
INV004203,8,66.57142857142857,at-risk,113
INV002178,8,66.42857142857143,at-risk,236
INV000691,6,66.4,at-risk,163
INV003083,6,66.4,at-risk,169
INV003557,6,66.4,at-risk,156
INV000414,8,66.28571428571429,at-risk,233
INV004926,8,66.28571428571429,at-risk,133
INV001039,6,66.2,at-risk,187
INV001929,6,66.2,at-risk,242
INV004145,6,66.2,at-risk,144
INV000415,7,66.16666666666667,at-risk,128
INV000844,7,66.16666666666667,at-risk,151
INV001047,7,66.16666666666667,at-risk,142
INV004785,7,66.16666666666667,at-risk,248
INV000662,8,66.14285714285714,at-risk,185
INV001694,8,66.14285714285714,at-risk,144
INV000645,6,66.0,at-risk,127
INV000777,6,66.0,at-risk,121
INV002602,8,66.0,at-risk,151
INV001336,8,65.85714285714286,at-risk,198
INV001711,7,65.83333333333333,at-risk,189
INV000079,6,65.8,at-risk,90
INV002563,6,65.8,at-risk,114
INV004446,6,65.8,at-risk,170
INV003479,8,65.71428571428571,at-risk,164
INV000887,7,65.66666666666667,at-risk,268
INV002241,7,65.66666666666667,at-risk,124
INV001644,6,65.6,at-risk,89
INV002632,8,65.57142857142857,at-risk,180
INV002711,8,65.57142857142857,at-risk,230
INV003511,8,65.57142857142857,at-risk,183
INV003105,7,65.5,at-risk,140
INV000177,8,65.42857142857143,at-risk,278
INV000869,6,65.4,at-risk,100
INV004833,6,65.4,at-risk,171
INV000102,8,65.28571428571429,at-risk,109
INV003766,8,65.28571428571429,at-risk,192
INV003185,6,65.2,at-risk,116
INV000463,7,65.16666666666667,at-risk,181
INV000709,7,65.16666666666667,at-risk,128
INV000101,8,65.0,at-risk,197
INV001587,7,65.0,at-risk,144
INV002085,6,65.0,at-risk,220
INV002159,6,65.0,at-risk,104
INV002585,6,65.0,at-risk,124
INV002613,8,65.0,at-risk,143
INV002673,8,65.0,at-risk,147
INV002945,8,65.0,at-risk,139
INV003089,6,65.0,at-risk,107
INV002803,7,64.83333333333333,at-risk,176
INV003289,7,64.83333333333333,at-risk,183
INV003781,7,64.83333333333333,at-risk,199
INV004563,7,64.83333333333333,at-risk,211
INV000010,6,64.8,at-risk,139
INV003300,6,64.8,at-risk,219
INV000657,8,64.71428571428571,at-risk,106
INV001455,8,64.71428571428571,at-risk,153
INV004332,8,64.71428571428571,at-risk,149
INV004631,8,64.71428571428571,at-risk,109
INV001008,7,64.66666666666667,at-risk,191
INV001530,7,64.66666666666667,at-risk,122
INV002229,6,64.6,at-risk,101
INV004118,6,64.6,at-risk,161
INV004629,8,64.57142857142857,at-risk,175
INV000591,7,64.5,at-risk,112
INV002295,7,64.5,at-risk,159
INV004646,7,64.5,at-risk,158
INV004335,8,64.42857142857143,at-risk,104
INV002510,7,64.33333333333333,at-risk,176
INV002779,6,64.2,at-risk,151
INV002900,6,64.2,at-risk,136
INV002947,7,64.16666666666667,at-risk,152
INV003011,7,64.16666666666667,at-risk,154
